FECHA,TotalA,TotalB,Total,<=30A,<=30B,<=30,31-40A,31-40B,31-40,41-50A,41-50B,41-50,51-60A,51-60B,51-60,61-70A,61-70B,61-70,71-80A,71-80B,71-80,>=81A,>=81B,>=81
2021-02-10,0.012316111802203504,0.0069952783902958926,0.019311390192499396,0.0048637598327292446,0.003127178004627558,0.007990937837356802,0.025821484307265476,0.016462198716837177,0.04228368302410265,0.02265645864862459,0.014210948005641273,0.03686740665426586,0.02208536323804271,0.01238471673254282,0.03447007997058553,0.009736301369863015,0.00016780821917808218,0.009904109589041097,0.0016399939866887155,1.3666616555739295e-05,0.0016536606032444548,0.00025138089641068846,0.0,0.00025138089641068846
2021-02-11,0.01267441051408387,0.007125982639094356,0.019800393153178227,0.005004316503681919,0.0031937137068536762,0.008198030210535596,0.02654759840471649,0.01679382694641928,0.04334142535113577,0.023256195326739355,0.014461619195322054,0.03771781452206141,0.022731868737935472,0.012559365137727119,0.03529123387566259,0.010116438356164383,0.00018493150684931506,0.010301369863013698,0.0017265492248750643,1.3666616555739295e-05,0.0017402158414308035,0.0002581749746920584,0.0,0.0002581749746920584
2021-02-12,0.012960854402619808,0.007305782264929059,0.020266636667548864,0.0051082785384102295,0.0032768833346363243,0.008385161873046554,0.027184844806658573,0.01722299289058436,0.044407837697242936,0.02376456587029757,0.014857539111733754,0.03862210498203133,0.02315163771179949,0.012819805741949322,0.035971443453748815,0.010407534246575343,0.00018835616438356165,0.010595890410958904,0.0018176600019133263,1.3666616555739295e-05,0.0018313266184690655,0.0002785572095361683,0.0,0.0002785572095361683
2021-02-13,0.012966056561775964,0.007319112797766713,0.02028516935954268,0.0051082785384102295,0.003281873512303283,0.008390152050713513,0.027193514825732616,0.01726417548118606,0.04445769030691867,0.023778622198690886,0.014873938161525956,0.038652560360216845,0.02317002175445047,0.01284738180592579,0.03601740356037626,0.010407534246575343,0.00018835616438356165,0.010595890410958904,0.0018176600019133263,1.3666616555739295e-05,0.0018313266184690655,0.0002785572095361683,0.0,0.0002785572095361683
2021-02-14,0.012966381696723225,0.007328541711237249,0.020294923407960474,0.0051082785384102295,0.003289358778803721,0.00839763731721395,0.027193514825732616,0.01728368302410265,0.04447719784983527,0.023780964920089773,0.014895022654115927,0.0386759875742057,0.02317002175445047,0.012853509820142783,0.03602353157459325,0.010407534246575343,0.00018835616438356165,0.010595890410958904,0.0018176600019133263,1.3666616555739295e-05,0.0018313266184690655,0.0002785572095361683,0.0,0.0002785572095361683
2021-02-15,0.012966381696723225,0.007328541711237249,0.020294923407960474,0.0051082785384102295,0.003289358778803721,0.00839763731721395,0.027193514825732616,0.01728368302410265,0.04447719784983527,0.023780964920089773,0.014895022654115927,0.0386759875742057,0.02317002175445047,0.012853509820142783,0.03602353157459325,0.010407534246575343,0.00018835616438356165,0.010595890410958904,0.0018176600019133263,1.3666616555739295e-05,0.0018313266184690655,0.0002785572095361683,0.0,0.0002785572095361683
2021-02-16,0.012968332506406784,0.007341547109127643,0.02030987961553443,0.0051082785384102295,0.0032910221713593744,0.008399300709769603,0.02720435234957517,0.017329200624241373,0.044533552973816545,0.023783307641488657,0.01492782075370033,0.03871112839518899,0.02317002175445047,0.012862701841468272,0.03603272359591874,0.010407534246575343,0.00018835616438356165,0.010595890410958904,0.0018176600019133263,1.3666616555739295e-05,0.0018313266184690655,0.0002785572095361683,0.0,0.0002785572095361683
2021-02-17,0.013615351051453907,0.007441038402989161,0.021056389454443068,0.005358619118035999,0.003335933770362004,0.008694552888398004,0.028459337610542743,0.017582798682157102,0.04604213629269984,0.024968724669324874,0.015148036565195594,0.040116761234520466,0.024355792505438612,0.012988326132916629,0.03734411863835524,0.011092465753424657,0.00018835616438356165,0.01128082191780822,0.0018905486235439358,1.3666616555739295e-05,0.0019042152400996753,0.00028535128781753823,0.0,0.00028535128781753823
2021-02-18,0.015379533275285908,0.0075340269979054806,0.02291356027319139,0.00594413329762584,0.003379181976808981,0.00932331527443482,0.03162822958210508,0.017812554187619213,0.04944078376972429,0.028033004259067504,0.015365909655291974,0.043398913914359474,0.027741520360327235,0.013095566381714005,0.04083708674204124,0.013321917808219178,0.00018835616438356165,0.01351027397260274,0.002669545767221076,1.3666616555739295e-05,0.002683212383776815,0.0004552032448517872,0.0,0.0004552032448517872
2021-02-19,0.017091043637661812,0.007598078582515673,0.024689122220177485,0.006517172033048284,0.0034116181316442137,0.009928790164692497,0.03484914166811167,0.017966447026183458,0.052815588694295125,0.03119333542616445,0.015490073889432921,0.04668340931559737,0.030823911511474705,0.013199742623402887,0.04402365413487759,0.01517123287671233,0.00018835616438356165,0.01535958904109589,0.0034394318331943895,1.3666616555739295e-05,0.0034530984497501286,0.0006250552018860361,0.0,0.0006250552018860361
