FECHA,<=30M,<=30F,<=30,31-40M,31-40F,31-40,41-50M,41-50F,41-50,51-60M,51-60F,51-60,61-70M,61-70F,61-70,71-80M,71-80F,71-80,81-90M,81-90F,81-90,>=91M,>=91F,>=91,TotalM,TotalF,Total,DelayCount,CumDelay,DelayAvg
2020-12-04,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,4,1,5,0,0,0,7,2,9,9,118,13.11111111111111
2020-12-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,5,0,0,0,5,3,8,7,74,10.571428571428571
2020-12-06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,1,0,1,0,0,0,3,2,5,5,66,13.2
2020-12-07,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,1,3,2,1,3,0,0,0,6,3,9,9,130,14.444444444444445
2020-12-08,0,0,0,0,0,0,0,0,0,1,0,1,2,1,3,1,4,5,1,0,1,1,1,2,6,6,12,11,136,12.363636363636363
2020-12-09,0,0,0,0,1,1,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,2,2,4,4,53,13.25
2020-12-10,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,2,4,6,1,2,3,0,2,2,7,8,15,12,122,10.166666666666666
2020-12-11,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,3,4,0,1,1,2,6,8,7,95,13.571428571428571
2020-12-12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2,1,0,1,0,0,0,3,1,4,4,83,20.75
2020-12-13,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,2,0,2,3,0,3,1,0,1,8,1,9,9,143,15.88888888888889
2020-12-14,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3,1,4,1,1,2,0,0,0,7,3,10,9,104,11.555555555555555
2020-12-15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,4,1,1,2,0,0,0,5,3,8,8,161,20.125
2020-12-16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,5,3,3,6,1,1,2,8,7,15,15,161,10.733333333333333
2020-12-17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,4,7,0,0,0,0,1,1,4,5,9,9,114,12.666666666666666
2020-12-18,0,0,0,1,0,1,0,0,0,2,0,2,0,1,1,4,1,5,0,3,3,0,3,3,7,8,15,15,164,10.933333333333334
2020-12-19,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,2,0,2,0,2,2,0,1,1,5,3,8,8,175,21.875
2020-12-20,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,1,0,1,2,1,3,6,3,9,8,122,15.25
2020-12-21,0,0,0,1,0,1,0,0,0,2,1,3,3,0,3,4,0,4,2,4,6,0,1,1,12,6,18,16,234,14.625
2020-12-22,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,1,1,2,0,1,1,0,1,1,4,3,7,7,152,21.714285714285715
2020-12-23,0,0,0,0,1,1,0,0,0,3,0,3,2,0,2,4,4,8,3,3,6,0,0,0,12,8,20,18,280,15.555555555555555
2020-12-24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,1,1,2,2,4,3,39,13.0
2020-12-25,0,0,0,0,0,0,1,1,2,2,0,2,0,1,1,2,0,2,0,0,0,0,1,1,5,3,8,8,121,15.125
2020-12-26,0,0,0,0,1,1,0,0,0,2,0,2,0,1,1,4,2,6,2,3,5,0,0,0,8,7,15,14,241,17.214285714285715
2020-12-27,0,0,0,1,0,1,0,0,0,0,0,0,3,0,3,5,1,6,1,1,2,0,0,0,10,2,12,8,71,8.875
2020-12-28,0,0,0,0,0,0,1,0,1,1,0,1,2,1,3,8,1,9,5,5,10,1,1,2,18,8,26,24,343,14.291666666666666
2020-12-29,0,0,0,0,0,0,0,0,0,0,1,1,5,1,6,3,2,5,5,0,5,1,1,2,14,5,19,19,378,19.894736842105264
2020-12-30,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,4,3,7,1,1,2,0,0,0,7,5,12,11,141,12.818181818181818
2020-12-31,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,3,2,5,1,2,3,0,0,0,6,5,11,11,165,15.0
2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,2,5,0,0,0,0,0,0,5,3,8,7,97,13.857142857142858
2021-01-02,0,0,0,0,0,0,1,0,1,1,2,3,0,3,3,0,0,0,2,1,3,3,0,3,7,6,13,13,170,13.076923076923077
2021-01-03,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,1,1,2,1,2,3,0,0,0,5,5,10,9,94,10.444444444444445
2021-01-04,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,7,0,7,6,8,14,1,1,2,16,10,26,24,310,12.916666666666666
2021-01-05,0,0,0,0,1,1,1,0,1,0,0,0,2,1,3,1,0,1,1,2,3,0,4,4,5,8,13,13,195,15.0
2021-01-06,0,0,0,0,0,0,2,0,2,2,1,3,5,0,5,5,2,7,0,3,3,0,0,0,14,6,20,19,268,14.105263157894736
2021-01-07,1,0,1,0,0,0,0,1,1,0,1,1,2,2,4,4,2,6,4,2,6,5,1,6,16,9,25,25,261,10.44
2021-01-08,0,0,0,0,0,0,0,0,0,3,0,3,6,2,8,3,3,6,2,3,5,0,1,1,14,9,23,21,273,13.0
2021-01-09,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,3,3,6,0,3,3,0,1,1,5,7,12,11,149,13.545454545454545
2021-01-10,0,0,0,0,0,0,0,0,0,2,0,2,3,2,5,3,0,3,2,1,3,0,0,0,10,3,13,13,233,17.923076923076923
2021-01-11,0,0,0,0,1,1,1,0,1,3,0,3,5,0,5,5,1,6,1,3,4,0,3,3,15,8,23,22,264,12.0
2021-01-12,0,0,0,0,0,0,0,0,0,1,0,1,5,2,7,5,1,6,2,4,6,0,2,2,13,9,22,21,215,10.238095238095237
2021-01-13,0,0,0,0,0,0,0,0,0,5,3,8,3,1,4,3,1,4,3,2,5,1,1,2,15,8,23,23,370,16.08695652173913
2021-01-14,0,0,0,0,0,0,0,0,0,3,0,3,4,2,6,4,3,7,5,0,5,2,0,2,18,5,23,23,340,14.782608695652174
2021-01-15,0,0,0,1,0,1,0,1,1,0,0,0,2,1,3,2,3,5,4,2,6,0,0,0,9,7,16,15,167,11.133333333333333
2021-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,1,2,3,0,0,0,3,5,8,8,125,15.625
2021-01-17,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,6,0,6,3,1,4,0,0,0,11,2,13,11,122,11.090909090909092
2021-01-18,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,2,2,4,2,5,7,1,1,2,9,11,20,17,236,13.882352941176471
2021-01-19,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1,3,2,5,5,4,9,0,2,2,12,8,20,19,283,14.894736842105264
2021-01-20,0,0,0,0,1,1,0,0,0,2,0,2,4,1,5,4,1,5,4,3,7,0,4,4,14,10,24,23,321,13.956521739130435
2021-01-21,0,0,0,0,0,0,1,0,1,3,1,4,4,2,6,4,2,6,4,6,10,1,1,2,17,12,29,29,455,15.689655172413794
2021-01-22,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,1,1,2,1,3,4,1,1,2,7,7,14,14,160,11.428571428571429
2021-01-23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,1,2,3,0,0,0,8,8,16,15,187,12.466666666666667
2021-01-24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,4,1,0,1,0,0,0,4,3,7,7,82,11.714285714285714
2021-01-25,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,4,2,6,2,4,6,1,0,1,9,7,16,15,252,16.8
2021-01-26,0,0,0,0,0,0,1,0,1,1,1,2,3,1,4,1,3,4,4,3,7,0,2,2,10,10,20,19,186,9.789473684210526
2021-01-27,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,2,2,4,3,4,7,1,0,1,8,7,15,14,190,13.571428571428571
2021-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,3,2,1,3,0,1,1,4,5,9,8,144,18.0
2021-01-29,0,0,0,0,0,0,0,1,1,1,0,1,2,0,2,4,0,4,2,4,6,2,1,3,11,6,17,17,247,14.529411764705882
2021-01-30,0,0,0,0,0,0,0,0,0,2,0,2,2,2,4,0,2,2,0,1,1,1,0,1,5,5,10,9,120,13.333333333333334
2021-01-31,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,1,6,0,1,1,0,1,1,6,3,9,7,116,16.571428571428573
2021-02-01,0,0,0,0,0,0,0,0,0,1,1,2,3,2,5,5,4,9,2,2,4,0,1,1,11,10,21,18,280,15.555555555555555
2021-02-02,0,0,0,0,0,0,0,0,0,1,2,3,2,2,4,2,3,5,2,5,7,0,2,2,7,14,21,18,228,12.666666666666666
